,id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pembangunan_manusia,satuan,tahun
351,352,32,JAWA BARAT,3201,KABUPATEN BOGOR,71.78,POIN,2023
366,367,32,JAWA BARAT,3216,KABUPATEN BEKASI,75.76,POIN,2023
369,370,32,JAWA BARAT,3271,KOTA BOGOR,77.85,POIN,2023
374,375,32,JAWA BARAT,3276,KOTA DEPOK,82.38,POIN,2023
373,374,32,JAWA BARAT,3275,KOTA BEKASI,83.03,POIN,2023
