id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pembangunan_manusia,satuan,tahun
78,32,JAWA BARAT,3276,KOTA DEPOK,77.28,POIN,2012
79,32,JAWA BARAT,3277,KOTA CIMAHI,74.99,POIN,2012
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,67.84,POIN,2012
81,32,JAWA BARAT,3279,KOTA BANJAR,67.53,POIN,2012
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,66.74,POIN,2013
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,63.63,POIN,2013
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,61.68,POIN,2013
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,68.58,POIN,2013
86,32,JAWA BARAT,3205,KABUPATEN GARUT,61.67,POIN,2013
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,62.4,POIN,2013
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,67.2,POIN,2013
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,66.16,POIN,2013
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,65.06,POIN,2013
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,63.71,POIN,2013
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,68.47,POIN,2013
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,62.98,POIN,2013
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,65.48,POIN,2013
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,67.09,POIN,2013
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,66.61,POIN,2013
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,70.09,POIN,2013
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,63.93,POIN,2013
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,64.73,POIN,2013
100,32,JAWA BARAT,3271,KOTA BOGOR,72.86,POIN,2013
101,32,JAWA BARAT,3272,KOTA SUKABUMI,70.81,POIN,2013
102,32,JAWA BARAT,3273,KOTA BANDUNG,78.55,POIN,2013
103,32,JAWA BARAT,3274,KOTA CIREBON,72.27,POIN,2013
104,32,JAWA BARAT,3275,KOTA BEKASI,78.63,POIN,2013
105,32,JAWA BARAT,3276,KOTA DEPOK,78.27,POIN,2013
106,32,JAWA BARAT,3277,KOTA CIMAHI,75.85,POIN,2013
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,68.63,POIN,2013
108,32,JAWA BARAT,3279,KOTA BANJAR,68.01,POIN,2013
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,67.36,POIN,2014
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,64.07,POIN,2014
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,62.08,POIN,2014
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,69.06,POIN,2014
113,32,JAWA BARAT,3205,KABUPATEN GARUT,62.23,POIN,2014
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,62.79,POIN,2014
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,67.64,POIN,2014
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,66.63,POIN,2014
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,65.53,POIN,2014
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,64.07,POIN,2014
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,68.76,POIN,2014
